PROYECTO;ETAPA;MANZANA;LOTE;AREA_m2;PRECIO_CONTADO_SOLES;PRECIO_CONTADO_DOLARES;PRECIO_CONTADO_DSCTO;12_MESES_SOLES;24_MESES_SOLES;12_MESES_DOLARES;24_MESES_DOLARES
OASIS 1 (HUACHO 1);3;C;34;90;13000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);3;C;35;90;13000,00;0,00;0,00;14050,00;15100,00;0,00;0,00
OASIS 1 (HUACHO 1);3;C;36;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);3;C;37;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);3;C;38;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);3;C;39;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);3;C;40;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);3;C;41;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);3;C;42;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);3;C;43;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);3;C;44;90;12000,00;0,00;0,00;13050,00;14100,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;1;120;17000,00;0,00;0,00;18650,00;20300,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;2;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;3;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;4;120;17000,00;0,00;0,00;18650,00;20300,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;5;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;6;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;7;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;8;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;9;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;10;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;11;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;12;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;13;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;14;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;15;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;16;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;17;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;18;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;19;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;20;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;21;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;22;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;23;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;24;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;25;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;26;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;27;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;D;28;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;1;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;2;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;3;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;4;119,44;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;5;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;6;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;7;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;8;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;9;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;10;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;11;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;12;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;13;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;14;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;15;120;17000,00;0,00;0,00;18650,00;20300,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;16;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;17;120;16000,00;0,00;0,00;17500,00;19000,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;18;120;17000,00;0,00;0,00;18650,00;20300,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;19;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;20;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
OASIS 1 (HUACHO 1);1;E;21;120;15000,00;0,00;0,00;16350,00;17700,00;0,00;0,00
